"","PMID","DayAccepted","MonthAccepted","YearAccepted","DayReceived","MonthReceived","YearReceived","Journal","PublicationStatus","Country","Language","YMD_Accepted","YMD_Received"
"1","34871747",24,11,2021,9,4,2021,"Int J Antimicrob Agents","aheadofprint",NA,"eng",2021-11-24,2021-04-09
"2","34871746",24,11,2021,11,10,2020,"Int J Antimicrob Agents","aheadofprint",NA,"eng",2021-11-24,2020-10-11
"3","34871745",24,11,2021,11,5,2021,"Int J Antimicrob Agents","aheadofprint",NA,"eng",2021-11-24,2021-05-11
"4","34871744",24,11,2021,19,8,2021,"Int J Antimicrob Agents","aheadofprint",NA,"eng",2021-11-24,2021-08-19
"5","34871546",1,12,2021,30,11,2021,"Lancet","aheadofprint",NA,"eng",2021-12-01,2021-11-30
"6","34864192",29,11,2021,12,10,2021,"Int J Infect Dis","aheadofprint",NA,"eng",2021-11-29,2021-10-12
"7","34864113",8,11,2021,24,3,2021,"J Am Acad Dermatol","aheadofprint",NA,"eng",2021-11-08,2021-03-24
"8","34864112",25,11,2021,30,9,2021,"J Am Acad Dermatol","aheadofprint",NA,"eng",2021-11-25,2021-09-30
"9","34864111",23,11,2021,6,10,2021,"J Am Acad Dermatol","aheadofprint",NA,"eng",2021-11-23,2021-10-06
"10","34864110",30,11,2021,30,11,2021,"J Am Acad Dermatol","aheadofprint",NA,"eng",2021-11-30,2021-11-30
"11","34864109",29,11,2021,24,11,2021,"J Am Acad Dermatol","aheadofprint",NA,"eng",2021-11-29,2021-11-24
"12","34864108",12,11,2021,12,9,2021,"J Am Acad Dermatol","aheadofprint",NA,"eng",2021-11-12,2021-09-12
"13","34863924",27,11,2021,24,8,2021,"Int J Infect Dis","aheadofprint",NA,"eng",2021-11-27,2021-08-24
"14","34863923",20,11,2021,19,10,2021,"Int J Infect Dis","aheadofprint",NA,"eng",2021-11-20,2021-10-19
"15","34863515",NA,NA,NA,NA,NA,NA,"J Hosp Infect","ppublish",NA,"eng",NA,NA
"16","34863370",29,11,2021,29,11,2021,"Lancet","aheadofprint",NA,"eng",2021-11-29,2021-11-29
"17","34863364",1,11,2021,9,8,2021,"Lancet Public Health","aheadofprint",NA,"eng",2021-11-01,2021-08-09
"18","34863361",23,11,2021,16,11,2021,"Lancet","aheadofprint",NA,"eng",2021-11-23,2021-11-16
"19","34863360",NA,NA,NA,NA,NA,NA,"Lancet","aheadofprint",NA,"eng",NA,NA
"20","34863359",15,7,2021,18,4,2021,"Lancet","aheadofprint",NA,"eng",2021-07-15,2021-04-18
"21","34863357",19,11,2021,19,11,2021,"Lancet","aheadofprint",NA,"eng",2021-11-19,2021-11-19
"22","34863356",NA,NA,NA,NA,NA,NA,"Lancet","aheadofprint",NA,"eng",NA,NA
"23","34863351",17,9,2021,7,4,2021,"Lancet","ppublish",NA,"eng",2021-09-17,2021-04-07
"24","34863350",19,10,2021,28,9,2021,"Lancet","ppublish",NA,"eng",2021-10-19,2021-09-28
"25","34863349",19,10,2021,4,8,2021,"Lancet","ppublish",NA,"eng",2021-10-19,2021-08-04
"26","34863348",19,10,2021,2,8,2021,"Lancet","ppublish",NA,"eng",2021-10-19,2021-08-02
"27","34863347",19,10,2021,29,7,2021,"Lancet","ppublish",NA,"eng",2021-10-19,2021-07-29
"28","34863345",15,10,2021,23,9,2021,"Lancet","ppublish",NA,"eng",2021-10-15,2021-09-23
"29","34863344",15,10,2021,26,8,2021,"Lancet","ppublish",NA,"eng",2021-10-15,2021-08-26
"30","34863343",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"31","34863342",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"32","34863341",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"33","34863340",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"34","34863339",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"35","34863338",29,11,2021,29,11,2021,"Lancet","ppublish",NA,"eng",2021-11-29,2021-11-29
"36","34863337",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"37","34863336",10,2,2021,24,7,2019,"Lancet Infect Dis","aheadofprint",NA,"eng",2021-02-10,2019-07-24
