"","PMID","DayAccepted","MonthAccepted","YearAccepted","DayReceived","MonthReceived","YearReceived","Journal","PublicationStatus","Country","Language","YMD_Accepted","YMD_Received"
"1","32276282",NA,NA,NA,NA,NA,NA,"American journal of perinatology","aheadofprint","United States","eng",NA,NA
"2","32276259",NA,NA,NA,NA,NA,NA,"Journal of neurosurgery","aheadofprint","United States","eng",NA,NA
"3","32276196",21,3,2020,18,3,2020,"Psychiatry research","aheadofprint","Ireland","eng",2020-03-21,2020-03-18
"4","32276140",4,4,2020,1,4,2020,"Clinical immunology (Orlando, Fla.)","aheadofprint","United States","eng",2020-04-04,2020-04-01
"5","32276139",6,4,2020,26,3,2020,"Clinical immunology (Orlando, Fla.)","aheadofprint","United States","eng",2020-04-06,2020-03-26
"6","32276137",4,4,2020,30,3,2020,"Clinical immunology (Orlando, Fla.)","aheadofprint","United States","eng",2020-04-04,2020-03-30
"7","32276116",2,4,2020,3,3,2020,"Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases","aheadofprint","England","eng",2020-04-02,2020-03-03
"8","32276102",26,3,2020,19,3,2020,"Journal of pain and symptom management","aheadofprint","United States","eng",2020-03-26,2020-03-19
"9","32276101",27,3,2020,24,3,2020,"Journal of pain and symptom management","aheadofprint","United States","eng",2020-03-27,2020-03-24
"10","32276099",30,3,2020,26,3,2020,"Journal of pain and symptom management","aheadofprint","United States","eng",2020-03-30,2020-03-26
"11","32276097",30,3,2020,26,3,2020,"Journal of pain and symptom management","aheadofprint","United States","eng",2020-03-30,2020-03-26
"12","32276095",30,3,2020,24,3,2020,"Journal of pain and symptom management","aheadofprint","United States","eng",2020-03-30,2020-03-24
"13","32276051",27,3,2020,25,3,2020,"The Journal of molecular diagnostics : JMD","aheadofprint","United States","eng",2020-03-27,2020-03-25
"14","32275978",3,4,2020,2,4,2020,"Chest","aheadofprint","United States","eng",2020-04-03,2020-04-02
"15","32275914",3,4,2020,26,3,2020,"Antiviral research","aheadofprint","Netherlands","eng",2020-04-03,2020-03-26
"16","32275858",1,4,2020,26,3,2020,"The Lancet. Public health","aheadofprint","England","eng",2020-04-01,2020-03-26
"17","32275855",19,3,2020,28,2,2020,"Cell","aheadofprint","United States","eng",2020-03-19,2020-02-28
"18","32275812",NA,NA,NA,NA,NA,NA,"The New England journal of medicine","aheadofprint","United States","eng",NA,NA
"19","32275805",2,4,2020,17,3,2020,"Emergency medicine Australasia : EMA","aheadofprint","Australia","eng",2020-04-02,2020-03-17
"20","32275804",NA,NA,NA,NA,NA,NA,"EMBO molecular medicine","aheadofprint","England","eng",NA,NA
"21","32275784",NA,NA,NA,NA,NA,NA,"Hepatology (Baltimore, Md.)","aheadofprint","United States","eng",NA,NA
"22","32275775",NA,NA,NA,NA,NA,NA,"International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics","aheadofprint","United States","eng",NA,NA
"23","32275766",NA,NA,NA,NA,NA,NA,"Anaesthesia","aheadofprint","England","eng",NA,NA
"24","32275753",1,4,2020,24,3,2020,"QJM : monthly journal of the Association of Physicians","aheadofprint","England","eng",2020-04-01,2020-03-24
"25","32275742",NA,NA,NA,NA,NA,NA,"American journal of clinical pathology","aheadofprint","England","eng",NA,NA
"26","32275740",3,4,2020,27,3,2020,"Blood","aheadofprint","United States","eng",2020-04-03,2020-03-27
"27","32275643",28,3,2020,29,2,2020,"Aging","aheadofprint","United States","eng",2020-03-28,2020-02-29
"28","32275498",NA,NA,NA,NA,NA,NA,"Emerging infectious diseases","aheadofprint","United States","eng",NA,NA
"29","32275497",NA,NA,NA,NA,NA,NA,"Emerging infectious diseases","aheadofprint","United States","eng",NA,NA
"30","32275485",NA,NA,NA,NA,NA,NA,"Telemedicine journal and e-health : the official journal of the American Telemedicine Association","aheadofprint","United States","eng",NA,NA
"31","32275463",NA,NA,NA,NA,NA,NA,"Surgical infections","aheadofprint","United States","eng",NA,NA
"32","32275452",NA,NA,NA,NA,NA,NA,"American journal of respiratory and critical care medicine","aheadofprint","United States","eng",NA,NA
"33","32275347",7,4,2020,6,4,2020,"European journal of heart failure","aheadofprint","England","eng",2020-04-07,2020-04-06
"34","32275309",NA,NA,NA,NA,NA,NA,"Laboratory medicine","aheadofprint","England","eng",NA,NA
"35","32275299",NA,NA,NA,NA,NA,NA,"JAMA","aheadofprint","United States","eng",NA,NA
"36","32275296",NA,NA,NA,NA,NA,NA,"JAMA","aheadofprint","United States","eng",NA,NA
"37","32275295",NA,NA,NA,NA,NA,NA,"JAMA","aheadofprint","United States","eng",NA,NA
"38","32275294",NA,NA,NA,NA,NA,NA,"JAMA oncology","aheadofprint","United States","eng",NA,NA
"39","32275293",NA,NA,NA,NA,NA,NA,"JAMA","aheadofprint","United States","eng",NA,NA
"40","32275292",NA,NA,NA,NA,NA,NA,"JAMA internal medicine","aheadofprint","United States","eng",NA,NA
"41","32275291",NA,NA,NA,NA,NA,NA,"JAMA neurology","aheadofprint","United States","eng",NA,NA
"42","32275290",NA,NA,NA,NA,NA,NA,"JAMA","aheadofprint","United States","eng",NA,NA
"43","32275288",NA,NA,NA,NA,NA,NA,"JAMA neurology","aheadofprint","United States","eng",NA,NA
"44","32275287",NA,NA,NA,8,4,2020,"Acta bio-medica : Atenei Parmensis","epublish","Italy","eng",NA,2020-04-08
"45","32275264",24,3,2020,19,3,2020,"Acta bio-medica : Atenei Parmensis","epublish","Italy","eng",2020-03-24,2020-03-19
"46","32275261",NA,NA,NA,7,4,2020,"Acta bio-medica : Atenei Parmensis","epublish","Italy","eng",NA,2020-04-07
"47","32275260",NA,NA,NA,NA,NA,NA,"Le infezioni in medicina","ppublish","Italy","eng",NA,NA
"48","32275259",NA,NA,NA,NA,NA,NA,"Le infezioni in medicina","ppublish","Italy","eng",NA,NA
"49","32275258",NA,NA,NA,NA,NA,NA,"Le infezioni in medicina","ppublish","Italy","eng",NA,NA
"50","32275257",NA,NA,NA,NA,NA,NA,"Le infezioni in medicina","ppublish","Italy","eng",NA,NA
"51","32275256",NA,NA,NA,NA,NA,NA,"Le infezioni in medicina","ppublish","Italy","eng",NA,NA
"52","32275255",NA,NA,NA,NA,NA,NA,"Le infezioni in medicina","ppublish","Italy","eng",NA,NA
